run_id,test_id,audio_file,category,model,backend,device,compute_type,vad_enabled,initial_prompt_enabled,is_first_request,audio_duration_seconds,transcription_seconds,real_time_factor,transcribed_text,wer,cer,full_audio_transcribed,final_sentence_present,company_names_correct,role_names_correct,important_fields_correct,hallucination_detected,speech_after_pauses_captured,observed_errors,notes
fw_small_fp16_vad_on_prompt_off_smoke__short_01,short_01,raw/short/1.wav,short,small,faster-whisper,cuda,float16,true,false,true,10.664687,1.449361,0.135903,for the AI engineer role.,,,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__company_01,company_01,raw/company/1.wav,company,small,faster-whisper,cuda,float16,true,false,true,12.840687,0.682462,0.053148,"I applied to boot 4D Private Limited, ESP, International, Densis, Technologies and Analytics with them.",0.538462,0.196078,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__company_02,company_02,raw/company/2.wav,company,small,faster-whisper,cuda,float16,true,false,false,15.870000,0.596772,0.037604,"I am tracking opportunities at first to 7,000 in Astrobit Technologies Private Limited,",0.588235,0.390244,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__company_03,company_03,raw/company/3.wav,company,small,faster-whisper,cuda,float16,true,false,false,14.547313,0.396822,0.027278,I applied two ideas to impact the CI-40 Technolab support for technologies and strata setup.,0.769231,0.247312,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__company_04,company_04,raw/company/4.wav,company,small,faster-whisper,cuda,float16,true,false,false,18.174000,0.519262,0.028572,"I am also tracking SYNFECT solutions, PISTS data, solutions private limited, J-Curve IQ, and URLEO AI, formerly known as LEO AI.",0.350000,0.118110,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__company_05,company_05,raw/company/5.wav,company,small,faster-whisper,cuda,float16,true,false,false,18.472625,0.520077,0.028154,"Other applications include Tevon, Varyficient Technologies, Digital Let's Load, InEquala, Data Annotation, Rockwell Automation, Peekline Technology Solutions.",0.666667,0.177632,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__difficult_company_mix_vocab_01,difficult_company_mix_vocab_01,raw/difficult-company-mix-vocab/1.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,false,false,18.302000,0.469360,0.025645,"I am tracking applications that extra base technology is privately limited, this is data solution privately limited, very efficient technologies and very great technology solution.",0.800000,0.204819,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__difficult_company_mix_vocab_02,difficult_company_mix_vocab_02,raw/difficult-company-mix-vocab/2.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,false,false,13.736688,0.474997,0.034579,"I applied to check for YQ, your new AI, formerly known as the new AI, Digital X node, and Inipola.",0.785714,0.247191,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__difficult_company_mix_vocab_03,difficult_company_mix_vocab_03,raw/difficult-company-mix-vocab/3.wav,difficult-company-mix-vocab,small,faster-whisper,cuda,float16,true,false,false,13.438000,0.382792,0.028486,"I applied for roles at good forming priorities at Postal 7 consulting, ideas to impact and support soft technologies.",0.529412,0.225806,,,,,,,,,
fw_small_fp16_vad_on_prompt_off__long_narrative_pauses_01,long_narrative_pauses_01,raw/long-narrative-pauses/1.wav,long-narrative-pauses,small,faster-whisper,cuda,float16,true,false,false,45.139313,0.864744,0.019157,"I applied for the generating AI in the return shift and it takes you there. The rule is on site and the location is in Haryana. A tailor of my resume submitted the application connected with employers and engaged with their booths. Before asking for referrals, I need to decide whether the location is suitable for me. My current priority for this application is go.",0.379310,0.131507,,,,,,,,,
