test_id,audio_file,category,expected_text,notes
company_01,raw/company/1.wav,company,"I applied to Bootcoding Private Limited, SVS International, Zansys Technologies, and Analytics Vidhya.",
company_02,raw/company/2.wav,company,"I am tracking opportunities at Coastal Seven Consulting, Abstrabit Technologies Private Limited, Immverse AI, and Aiden AI.",
company_03,raw/company/3.wav,company,"I applied to Ideas To Impacts, CGI, Kody Technolab, Supportsoft Technologies, and Stratacent.",
company_04,raw/company/4.wav,company,"I am also tracking Enfec Solutions, D-Sys Data Solutions Private Limited, JCurveIQ, and YourLio AI, formerly known as Helio AI.",
company_05,raw/company/5.wav,company,"Other applications include Devon, Verificient Technologies, DigitalXNode, Inikola, DataAnnotation, Rockwell Automation, and VGreen Technology Solutions.",
difficult_company_mix_vocab_01,raw/difficult-company-mix-vocab/1.wav,difficult-company-mix-vocab,"I am tracking applications at Abstrabit Technologies Private Limited, D-Sys Data Solutions Private Limited, Verificient Technologies, and VGreen Technology Solutions.",
difficult_company_mix_vocab_02,raw/difficult-company-mix-vocab/2.wav,difficult-company-mix-vocab,"I applied to JCurveIQ, YourLio AI, formerly known as Helio AI, DigitalXNode, and Inikola.",
difficult_company_mix_vocab_03,raw/difficult-company-mix-vocab/3.wav,difficult-company-mix-vocab,"I applied for roles at Bootcoding Private Limited, Coastal Seven Consulting, Ideas To Impacts, and Supportsoft Technologies.",
long_narrative_pauses_01,raw/long-narrative-pauses/1.wav,long-narrative-pauses,"I applied for the Generative AI Engineer internship at Analytics Vidhya. The role is on-site, and the location is in Haryana.I tailored my resume, submitted the application, connected with employees, and engaged with their posts. Before asking for referrals, I need to decide whether the location is suitable for me. My current priority for this application is low.","3–4 second pause after ""I applied for the Generative AI Engineer internship at Analytics Vidhya.""; around 5 second pause after ""The role is on-site, and the location is in Haryana.""; 3 second pause after ""I tailored my resume, submitted the application, connected with employees, and engaged with their posts.""; 6 second pause before the final phrase ""suitable for me"""
long_narrative_pauses_02,raw/long-narrative-pauses/2.wav,long-narrative-pauses,"I applied for an AI Engineer opportunity at Aiden AI.The job was posted through a LinkedIn post.I sent my resume by email, connected with employees, followed up, and engaged with their posts.My next action is to ask for referrals.","2 second pause after ""I applied for an AI Engineer opportunity at Aiden AI.""; 4 second pause after ""The job was posted through a LinkedIn post.""; 6 second pause after ""I sent my resume by email, connected with employees, followed up, and engaged with their posts."""
long_narratives_01,raw/long-narratives/1.wav,long-narratives,"Today I reviewed my job application tracker and checked the status of several AI Engineer applications. I applied for the Generative AI Engineer internship at Analytics Vidhya. I tailored my resume, submitted the application, connected with employees, and engaged with their posts. However, the role is based in Haryana, so I need to think carefully before asking for referrals.I also applied for an AI Engineer opportunity at Aiden AI. The opening was posted on LinkedIn, and I sent my resume through email. I have already started asking for referrals. Another medium-priority opportunity is Coastal Seven Consulting, where I asked one connection for a referral and am waiting for other invitations to be accepted. For JCurveIQ and YourLio AI, my next step is to engage with posts, send connection requests, wait for a few days, and then ask for referrals. I also applied to Rockwell Automation, where I received a referral before applying. For now, my focus is to follow up on medium-priority applications and avoid spending too much time on roles requiring several years of experience.",
medium_narratives_01,raw/medium-narratives/1.wav,medium-narratives,"I applied for the Generative AI Engineer internship at Analytics Vidhya. The role is on-site, and the location is in Haryana. I tailor my resume, applied for the position, connected with employees, and engaged with their posts. My current priority is low because I need to think about the location before asking for referrals.",
medium_narratives_02,raw/medium-narratives/2.wav,medium-narratives,"I applied for an AI Engineer internship at Coastal Seven Consulting. The role is on-site, and my current priority is medium. I tailored my resume, applied for the role, connected with employees, and engaged with their posts. I asked one connection for a referral, while the other connection requests are still pending.",
medium_narratives_03,raw/medium-narratives/3.wav,medium-narratives,"I applied for an AI Engineer opportunity at Aiden AI. The role was shared through a LinkedIn post. I sent my resume by email, connected with employees, followed up, and started engaging with their posts. My next action is to ask for referrals.",
medium_narratives_04,raw/medium-narratives/4.wav,medium-narratives,"I applied for an AI Engineer internship at JCurveIQ. The role is remote, and my current priority is medium. I tailored my resume and submitted the application. My next action is to engage with posts, send connection requests, wait for a few days, and then ask for referrals.",
natural_voice_01,raw/natural-voice/1.wav,natural-voice,"I applied to Bootcoding Private Limited for an AI Engineer internship. I connected with one person on LinkedIn, but the invitation has not been accepted yet. My current priority is medium. The next step is to wait for the request to be accepted before following up.",
natural_voice_02,raw/natural-voice/2.wav,natural-voice,"I applied to SVS International for a Computer Vision Engineer internship. I could not find a LinkedIn page for the company, so my next step is to check whether a cold email address is available.",
natural_voice_03,raw/natural-voice/3.wav,natural-voice,"I applied to D-Sys Data Solutions Private Limited for an AI Engineer role. The job requires more than six years of experience, so I do not expect to be shortlisted for the exact role. However, after engaging with the company for a while, I may ask whether they have any junior engineer or internship opportunities.",
natural_voice_04,raw/natural-voice/4.wav,natural-voice,"I received a rejection from Supportsoft Technologies through Indeed. Since the company does not appear to have a dedicated hiring team, I reached out to the chief executive officer. I have saved a follow-up message and will send it after the connection request is accepted.",
role_jobtype_01,raw/role-jobtype/1.wav,role-jobtype,I applied for the Generative AI Engineer internship at Analytics Vidhya.,
role_jobtype_02,raw/role-jobtype/2.wav,role-jobtype,I applied for the Computer Vision Engineer internship at SVS International.,
role_jobtype_03,raw/role-jobtype/3.wav,role-jobtype,I applied for the Prompt Engineer internship at Immverse AI.,
role_jobtype_04,raw/role-jobtype/4.wav,role-jobtype,I applied for a full-time Junior AI Engineer role at DigitalXNode.,
role_jobtype_05,raw/role-jobtype/5.wav,role-jobtype,I applied for Graduate Engineer Trainee and AI Engineer opportunities at Rockwell Automation.,
role_jobtype_06,raw/role-jobtype/6.wav,role-jobtype,I applied for the Platform Engineer role at DataAnnotation.,
short_01,raw/short/1.wav,short,Add Bootcoding Private Limited as an internship application for the AI Engineer role.,
short_02,raw/short/2.wav,short,Mark the Supportsoft Technologies application as rejected.,
short_03,raw/short/3.wav,short,Set the priority of the Coastal Seven Consulting application to medium.,
short_04,raw/short/4.wav,short,"Update the current stage for Aiden AI to applied, networked, followed up, and engaged.",
short_05,raw/short/5.wav,short,Add a note for Rockwell Automation saying that I received a referral before applying.,
short_06,raw/short/6.wav,short,Set the next action for SVS International to check whether a cold email address is available.,
